Timestamp,1. Nama Lengkap (sesuai KTP)  ,2.  Nama Panggilan,"3.  Tempat, Tanggal Lahir ",4.  Jenis Kelamin,5. Alamat Domisili Lengkap (Sesuai KTP),6. Alamat Domisili Saat Ini (Jika berbeda dari KTP),7. Nomor Whatsapp Aktif,8. Alamat Email Aktif,9. Status Pernikahan,10. Agama,11. Posisi yang Dilamar,12. Cabang atau Lokasi Kerja yang Dituju,13. Ekspektasi Gaji (Rp),14. Kapan Anda Bisa Mulai Bergabung?,15. Sumber Informasi Lowongan,16. Apa yang Kamu Pahami tentang Jobdesk yang Kamu Pilih?,17. Coba Promosikan Diri Anda Kenapa Perusahaan Kami Harus Memilih Anda,18. Apakah Anada Bersedia Ditempatkan di Cabang Lain (Jika Diperlukan),19. Pendidikan Terakhir,20. Nama Sekolah/Institusi dan Program Studi,21. Tahun Lulus dan Nilai Rata-rata (IPK/Nilai Akhir),22. Sertifikasi/Pelatihan Tambahan yang Dimiliki,Email Address,Tipe Kepribadian MBTI Anda,Upload Hasil MBTI Anda
7/28/2026 15:42:07,Lamine Yamal,Jamal,Jombang 10 November 2003,Laki-Laki,Kediri,Kediri,085689008774,jombang@gmail.com,Belum Menikah,Islam,Marketing Eksekutif,Surabaya,300000,2 Minggu Setelah Diterima,Glints,Jaa,jj,Bersedia,SMA / SMK,dsd,asds,,,-A,https://drive.google.com/open?id=1dlFDObhrXzZBXSsHW4AhoEl5CTpk0Dmt
7/28/2026 15:42:07,Lamine Yamal,Jamal,Jombang 10 November 2003,Laki-Laki,Kediri,Kediri,085689008774,jombang@gmail.com,Belum Menikah,Islam,Marketing Eksekutif,Surabaya,300000,2 Minggu Setelah Diterima,Glints,Jaa,jj,Bersedia,SMA / SMK,dsd,asds,,,-A,https://drive.google.com/open?id=1dlFDObhrXzZBXSsHW4AhoEl5CTpk0Dmt
7/28/2026 15:42:07,Lamine Yamal,Jamal,Jombang 10 November 2003,Laki-Laki,Kediri,Kediri,085689008774,jombang@gmail.com,Belum Menikah,Islam,Marketing Eksekutif,Surabaya,300000,2 Minggu Setelah Diterima,Glints,Jaa,jj,Bersedia,SMA / SMK,dsd,asds,,,-A,https://drive.google.com/open?id=1dlFDObhrXzZBXSsHW4AhoEl5CTpk0Dmt
7/28/2026 15:42:07,Lamine Yamal,Jamal,Jombang 10 November 2003,Laki-Laki,Kediri,Kediri,085689008774,jombang@gmail.com,Belum Menikah,Islam,Marketing Eksekutif,Surabaya,300000,2 Minggu Setelah Diterima,Glints,Jaa,jj,Bersedia,SMA / SMK,dsd,asds,,,-A,https://drive.google.com/open?id=1dlFDObhrXzZBXSsHW4AhoEl5CTpk0Dmt
7/28/2026 15:42:07,Lamine Yamal,Jamal,Jombang 10 November 2003,Laki-Laki,Kediri,Kediri,085689008774,jombang@gmail.com,Belum Menikah,Islam,Marketing Eksekutif,Surabaya,300000,2 Minggu Setelah Diterima,Glints,Jaa,jj,Bersedia,SMA / SMK,dsd,asds,,,-A,https://drive.google.com/open?id=1dlFDObhrXzZBXSsHW4AhoEl5CTpk0Dmt
7/28/2026 15:42:07,Lamine Yamal,Jamal,Jombang 10 November 2003,Laki-Laki,Kediri,Kediri,085689008774,jombang@gmail.com,Belum Menikah,Islam,Marketing Eksekutif,Surabaya,300000,2 Minggu Setelah Diterima,Glints,Jaa,jj,Bersedia,SMA / SMK,dsd,asds,,,-A,https://drive.google.com/open?id=1dlFDObhrXzZBXSsHW4AhoEl5CTpk0Dmt
7/28/2026 15:42:07,Lamine Yamal,Jamal,Jombang 10 November 2003,Laki-Laki,Kediri,Kediri,085689008774,jombang@gmail.com,Belum Menikah,Islam,Marketing Eksekutif,Surabaya,300000,2 Minggu Setelah Diterima,Glints,Jaa,jj,Bersedia,SMA / SMK,dsd,asds,,,-A,https://drive.google.com/open?id=1dlFDObhrXzZBXSsHW4AhoEl5CTpk0Dmt
7/28/2026 15:42:07,Lamine Yamal,Jamal,Jombang 10 November 2003,Laki-Laki,Kediri,Kediri,085689008774,jombang@gmail.com,Belum Menikah,Islam,Marketing Eksekutif,Surabaya,300000,2 Minggu Setelah Diterima,Glints,Jaa,jj,Bersedia,SMA / SMK,dsd,asds,,,-A,https://drive.google.com/open?id=1dlFDObhrXzZBXSsHW4AhoEl5CTpk0Dmt
7/28/2026 15:42:07,Lamine Yamal,Jamal,Jombang 10 November 2003,Laki-Laki,Kediri,Kediri,085689008774,jombang@gmail.com,Belum Menikah,Islam,Marketing Eksekutif,Surabaya,300000,2 Minggu Setelah Diterima,Glints,Jaa,jj,Bersedia,SMA / SMK,dsd,asds,,,-A,https://drive.google.com/open?id=1dlFDObhrXzZBXSsHW4AhoEl5CTpk0Dmt
7/28/2026 15:42:07,Lamine Yamal,Jamal,Jombang 10 November 2003,Laki-Laki,Kediri,Kediri,085689008774,jombang@gmail.com,Belum Menikah,Islam,Marketing Eksekutif,Surabaya,300000,2 Minggu Setelah Diterima,Glints,Jaa,jj,Bersedia,SMA / SMK,dsd,asds,,,-A,https://drive.google.com/open?id=1dlFDObhrXzZBXSsHW4AhoEl5CTpk0Dmt
7/28/2026 15:42:07,Lamine Yamal,Jamal,Jombang 10 November 2003,Laki-Laki,Kediri,Kediri,085689008774,jombang@gmail.com,Belum Menikah,Islam,Marketing Eksekutif,Surabaya,300000,2 Minggu Setelah Diterima,Glints,Jaa,jj,Bersedia,SMA / SMK,dsd,asds,,,-A,https://drive.google.com/open?id=1dlFDObhrXzZBXSsHW4AhoEl5CTpk0Dmt
7/28/2026 15:42:07,Lamine Yamal,Jamal,Jombang 10 November 2003,Laki-Laki,Kediri,Kediri,085689008774,jombang@gmail.com,Belum Menikah,Islam,Marketing Eksekutif,Surabaya,300000,2 Minggu Setelah Diterima,Glints,Jaa,jj,Bersedia,SMA / SMK,dsd,asds,,,-A,https://drive.google.com/open?id=1dlFDObhrXzZBXSsHW4AhoEl5CTpk0Dmt
7/28/2026 15:42:07,Lamine Yamal,Jamal,Jombang 10 November 2003,Laki-Laki,Kediri,Kediri,085689008774,jombang@gmail.com,Belum Menikah,Islam,Marketing Eksekutif,Surabaya,300000,2 Minggu Setelah Diterima,Glints,Jaa,jj,Bersedia,SMA / SMK,dsd,asds,,,-A,https://drive.google.com/open?id=1dlFDObhrXzZBXSsHW4AhoEl5CTpk0Dmt
7/28/2026 15:42:07,Lamine Yamal,Jamal,Jombang 10 November 2003,Laki-Laki,Kediri,Kediri,085689008774,jombang@gmail.com,Belum Menikah,Islam,Marketing Eksekutif,Surabaya,300000,2 Minggu Setelah Diterima,Glints,Jaa,jj,Bersedia,SMA / SMK,dsd,asds,,,-A,https://drive.google.com/open?id=1dlFDObhrXzZBXSsHW4AhoEl5CTpk0Dmt
7/28/2026 15:42:07,Lamine Yamal,Jamal,Jombang 10 November 2003,Laki-Laki,Kediri,Kediri,085689008774,jombang@gmail.com,Belum Menikah,Islam,Marketing Eksekutif,Surabaya,300000,2 Minggu Setelah Diterima,Glints,Jaa,jj,Bersedia,SMA / SMK,dsd,asds,,,-A,https://drive.google.com/open?id=1dlFDObhrXzZBXSsHW4AhoEl5CTpk0Dmt
7/28/2026 15:42:07,Lamine Yamal,Jamal,Jombang 10 November 2003,Laki-Laki,Kediri,Kediri,085689008774,jombang@gmail.com,Belum Menikah,Islam,Marketing Eksekutif,Surabaya,300000,2 Minggu Setelah Diterima,Glints,Jaa,jj,Bersedia,SMA / SMK,dsd,asds,,,-A,https://drive.google.com/open?id=1dlFDObhrXzZBXSsHW4AhoEl5CTpk0Dmt
7/28/2026 15:42:07,Lamine Yamal,Jamal,Jombang 10 November 2003,Laki-Laki,Kediri,Kediri,085689008774,jombang@gmail.com,Belum Menikah,Islam,Marketing Eksekutif,Surabaya,300000,2 Minggu Setelah Diterima,Glints,Jaa,jj,Bersedia,SMA / SMK,dsd,asds,,,-A,https://drive.google.com/open?id=1dlFDObhrXzZBXSsHW4AhoEl5CTpk0Dmt
7/28/2026 15:42:07,Lamine Yamal,Jamal,Jombang 10 November 2003,Laki-Laki,Kediri,Kediri,085689008774,jombang@gmail.com,Belum Menikah,Islam,Marketing Eksekutif,Surabaya,300000,2 Minggu Setelah Diterima,Glints,Jaa,jj,Bersedia,SMA / SMK,dsd,asds,,,-A,https://drive.google.com/open?id=1dlFDObhrXzZBXSsHW4AhoEl5CTpk0Dmt
7/28/2026 15:42:07,Lamine Yamal,Jamal,Jombang 10 November 2003,Laki-Laki,Kediri,Kediri,085689008774,jombang@gmail.com,Belum Menikah,Islam,Marketing Eksekutif,Surabaya,300000,2 Minggu Setelah Diterima,Glints,Jaa,jj,Bersedia,SMA / SMK,dsd,asds,,,-A,https://drive.google.com/open?id=1dlFDObhrXzZBXSsHW4AhoEl5CTpk0Dmt
